"score","text","name"
0,"RT @ZoomTV: .@aamir_khan with his onscreen daughters, Fatima Sana Shaikh and Sanya Malhotra at an award function lastnight https://t.co/w4o…","AamirKhan"
0,"@RosasEnriko @aamir_khan lets bulk up","AamirKhan"
1,".@aamir_khan with his onscreen daughters, Fatima Sana Shaikh and Sanya Malhotra at an award function lastnight https://t.co/w4o0oI38zH","AamirKhan"
0,"@aamir_khan is secretly a teenage hippie. @VanHeusenInd #FashionNights (<ed><U+00A0><U+00BD><ed><U+00B3><U+00B7>Nuno Oliveira) Read:… https://t.co/TIpRHg8FNX","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"<U+0938><U+0932><U+092E><U+093E><U+0928>-<U+0936><U+093E><U+0939><U+0930><U+0941><U+0916> <U+0928><U+0947> <U+0915><U+0939><U+093E> <U+0915><U+093F> <U+0935><U+094B> <U+0926><U+094B><U+0928><U+094B><U+0902> <U+092E><U+093F><U+0932><U+0915><U+0930> <U+0906><U+092E><U+093F><U+0930> <U+0916><U+093E><U+0928> <U+0915><U+0940> '<U+0926><U+0902><U+0917><U+0932>'...
https://t.co/JrgQ4uKxgw
@BeingSalmanKhan @iamsrk… https://t.co/YoiOvWhJM9","AamirKhan"
0,"RT @gqindia: .@aamir_khan, @FarOutAkhtar and @kapoorkkunal... the #bromance trifecta. #FashionNights @vanheusenind https://t.co/Rp5emINelT","AamirKhan"
0,"RT @gqindia: .@aamir_khan seems really amused by what @FarOutAkhtar said, probably sharing some fitness secrets. #FashionNights @VanHeusenI…","AamirKhan"
0,"RT @gqindia: .@aamir_khan, @FarOutAkhtar and @kapoorkkunal... the #bromance trifecta. #FashionNights @vanheusenind https://t.co/Rp5emINelT","AamirKhan"
0,"RT @ZeeMusicCompany: Whisk off your Monday blues with #Gilehriyaan 
@fattysanashaikh @aamir_khan @jonitamusic @ipritamofficial #Dangal 
htt…","AamirKhan"
0,"RT @EntDC: Watch: Like @aamir_khan, #Dangal girls sweat blood to perfect their wrestling act.
https://t.co/rkiBfZI2lB https://t.co/SDCekf6d…","AamirKhan"
0,"RT @Talkingmoviez: Official : Aamir Khan's Secret Superstar to Release on 4th August 2017 @aamir_khan @ZeeStudios_ @Aamir_KhanFC https://t.…","AamirKhan"
0,"RT @SpiceSocial1: #SecretSuperstar which is written and directed by #AdvaitChandan  with @aamir_khan in a cameo is all set to release on 4t…","AamirKhan"
0,"RT @filmibeat: JUST IN: Chandan Advait's directoral debut #SecretSuperstar starring @aamir_khan in a cameo will release on 4th August, 2017…","AamirKhan"
0,"RT @OYERJALOK: In Pics : @aamir_khan with his #Dangal daughters @sanyamalhotra07 and @fattysanashaikh at the #FashionNights @gqindia #RjAlo…","AamirKhan"
0,"RT @SpiceSocial1: Check out @aamir_khan with his #Dangal daughters @sanyamalhotra07 and @fattysanashaikh at the #FashionNights! https://t.c…","AamirKhan"
0,"RT @girishjohar: ""I will watch #Dangal first day first show of my langoti yaar @aamir_khan"" @BeingSalmanKhan at #StarScreenAwards","AamirKhan"
0,"@aamir_khan Assalamu Alaikum","AamirKhan"
0,"RT @rohitjswl01: Chalo Cameo he sahe... Kam se kam @aamir_khan k fans ko 2 saal ka wait nhi krna padega  #SecretSuperstar on 4th Aug 2017..…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"@aamir_khan hii","AamirKhan"
0,"RT @rohitjswl01: Chalo Cameo he sahe... Kam se kam @aamir_khan k fans ko 2 saal ka wait nhi krna padega  #SecretSuperstar on 4th Aug 2017..…","AamirKhan"
1,"RT @ETCBollywood: Rate this kick ass song by Raftaar. We love it to infinity. #Dangal #RateTheSong @aamir_khan https://t.co/g1OCLIMq7j","AamirKhan"
-2,"RT @kapoorkkunal: Holy hell! You crazy crazy man @aamir_khan https://t.co/NyN6iyaPPm","AamirKhan"
0,"RT @utvfilms: Miliye Dangal ki #DhaakadGirls se, iss naye video mein: https://t.co/cwIF3IsUgT
@aamir_khan @niteshtiwari22","AamirKhan"
0,"RT @Debisriprasad: #SecretSuperstar  14 months after  Thugs Of Hindostan 

1.2 Years Wait <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>  @aamir_khan","AamirKhan"
