"name","score"
"SalmanKhan",1
"SalmanKhan",2
"SalmanKhan",-1
"SalmanKhan",2
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",2
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",-1
"SalmanKhan",1
"SalmanKhan",-1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",4
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",4
"SalmanKhan",-1
"SalmanKhan",2
"SalmanKhan",2
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",2
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",-1
"SalmanKhan",3
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",2
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",-1
"SalmanKhan",2
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",-1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",-1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",2
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",-1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",-1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",2
"SalmanKhan",-1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",-1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",-2
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
"SalmanKhan",1
